Item,Frequency,Relative frequency
"biorach",161,4.68592
"spíon",161,4.68592
"briotan",160,4.65681
"drogallach",160,4.65681
"tagai",160,4.65681
"fiontraíoch",160,4.65681
"íorónta",160,4.65681
"comhlíon",159,4.62771
"hobann",159,4.62771
"coinsiasach",158,4.59860
"callánach",158,4.59860
"teoiriciúil",158,4.59860
"sofaisticiúil",158,4.59860
"baoth",158,4.59860
"cuibheasach",158,4.59860
"crosta",157,4.56950
"calma",157,4.56950
"dearbhaigh",156,4.54039
"conr",156,4.54039
"fáilí",156,4.54039
"cíocrach",155,4.51129
"druid",155,4.51129
"srianta",155,4.51129
"siúlach",155,4.51129
"teagmhasach",155,4.51129
"tráthrial",154,4.48218
"seascair",154,4.48218
"uaillmhianach",154,4.48218
"malartach",154,4.48218
"caithréimeach",154,4.48218
"aicmeach",154,4.48218
"fógair",153,4.45308
"aicean",153,4.45308
"litrigh",153,4.45308
"náirigh",152,4.42397
"fearúil",152,4.42397
"gáirsiúil",152,4.42397
"pictiúrtha",152,4.42397
"comhráiteach",152,4.42397
"conarth",152,4.42397
"foréigneach",152,4.42397
"reachtach",151,4.39487
"trópaiceach",151,4.39487
"réamhráite",151,4.39487
"ildánach",151,4.39487
"contrártha",150,4.36576
"crón",150,4.36576
"tonn",150,4.36576
"pleanáil",149,4.33666
"gioblach",149,4.33666
"uathoibríoch",149,4.33666
"séasúrach",149,4.33666
"impiriúil",149,4.33666
"rómánsach",148,4.30755
"beoga",148,4.30755
"tíriúil",148,4.30755
"gléineach",148,4.30755
"ceanndána",148,4.30755
"buach",148,4.30755
"riar",148,4.30755
"toirtiúil",147,4.27845
"anróiteach",147,4.27845
"riabhach",147,4.27845
"fiaclach",147,4.27845
"easnamhach",146,4.24934
"fostaí",146,4.24934
"brothallach",146,4.24934
"chomhaontai",146,4.24934
"meánaoiseach",145,4.22024
"soléite",145,4.22024
"clochach",144,4.19113
"iniúch",144,4.19113
"paiteanta",144,4.19113
"scrí",143,4.16203
"strainséartha",143,4.16203
"ardnósach",143,4.16203
"inchreidte",143,4.16203
"tintrí",143,4.16203
"seanda",142,4.13292
"buacach",142,4.13292
"mailíseach",142,4.13292
"ceangailteach",142,4.13292
"ceartchreidmheach",142,4.13292
"inn",141,4.10382
"díchéillí",141,4.10382
"páirtí",141,4.10382
"faichilleach",141,4.10382
"clúmhach",140,4.07471
"spíceach",140,4.07471
"ceannaireach",140,4.07471
"fiosrui",140,4.07471
"tríthoiseach",139,4.04561
"luigh",139,4.04561
"scafánta",139,4.04561
"shasan",139,4.04561
"brionglóideach",138,4.01650
"gortach",138,4.01650
"cnámhach",138,4.01650
"taibhseach",138,4.01650
"falsa",137,3.98740
"greanta",137,3.98740
"dofheicthe",137,3.98740
"maraigh",136,3.95829
"suairc",136,3.95829
"sofheicthe",136,3.95829
"smear",135,3.92919
"mheasúnai",135,3.92919
"ainmhíoch",135,3.92919
"ildathach",135,3.92919
"spleách",135,3.92919
"cliniciúil",135,3.92919
"dál",135,3.92919
"coinníollach",134,3.90008
"scís",134,3.90008
"araltach",134,3.90008
"deilgneach",134,3.90008
"úsáid",134,3.90008
"leithscéalach",134,3.90008
"dearmad",134,3.90008
"sádach",134,3.90008
"corpartha",133,3.87098
"maoithneach",133,3.87098
"dúbail",133,3.87098
"binbeach",132,3.84187
"sceirdiúil",132,3.84187
"sothuigthe",132,3.84187
"cleacht",132,3.84187
"cuach",132,3.84187
"scamallach",131,3.81277
"nochtai",131,3.81277
"beirigh",131,3.81277
"coisric",131,3.81277
"saoithiúil",131,3.81277
"fáinneach",131,3.81277
"maighnéadach",131,3.81277
"comhalta",130,3.78366
"míchruinn",130,3.78366
"leordhóthan",130,3.78366
"ionúin",130,3.78366
"soilseach",129,3.75455
"léimneach",129,3.75455
"daingnigh",129,3.75455
"seinn",129,3.75455
"uilechumhachtach",129,3.75455
"meastóireach",129,3.75455
"feidhmigh",129,3.75455
"díolmhai",129,3.75455
"neamhchiontach",128,3.72545
"ceapai",128,3.72545
"gnaíúil",128,3.72545
"comóir",128,3.72545
"malltriallach",128,3.72545
"caiteach",128,3.72545
"flannbhuí",127,3.69634
"croíbhris",127,3.69634
"lúcháireach",127,3.69634
"bearr",126,3.66724
"Moslamach",125,3.63813
"céaduair",125,3.63813
"diamhrach",125,3.63813
"saoráideach",125,3.63813
"neamhrialta",125,3.63813
"cluthar",125,3.63813
"réchúiseach",125,3.63813
"triantánach",125,3.63813
"séid",124,3.60903
"ciniciúil",124,3.60903
"poblachtán",124,3.60903
"inléi",124,3.60903
"meirgeach",124,3.60903
"stróic",124,3.60903
"nithiúil",123,3.57992
"idirmheánach",123,3.57992
"céimiúil",123,3.57992
"modhnui",123,3.57992
"leacaigh",123,3.57992
"infheicthe",122,3.55082
"ilbhliantúil",122,3.55082
"líneach",122,3.55082
"mantach",121,3.52171
"athraitheach",121,3.52171
"stop",121,3.52171
"ionadaí",121,3.52171
"fras",121,3.52171
"préamhai",121,3.52171
"craosach",120,3.49261
"riarthach",120,3.49261
"trodach",120,3.49261
"pacáil",119,3.46350
"spreag",119,3.46350
"tuirsiúil",119,3.46350
"braonach",119,3.46350
"discréideach",119,3.46350
"tuaisceartach",119,3.46350
"dalba",119,3.46350
"éadomhain",119,3.46350
"dícháiligh",118,3.43440
"nimhiúil",118,3.43440
"fréamhaigh",118,3.43440
"feoigh",118,3.43440
"eitil",118,3.43440
"foclach",118,3.43440
"mírialta",118,3.43440
"fuin",118,3.43440
"tuata",118,3.43440
"ilchineálach",118,3.43440
"seachaid",117,3.40529
"fáisc",117,3.40529
"ballach",117,3.40529
"fa",116,3.37619
"coibhéiseach",116,3.37619
"comhuaineach",116,3.37619
"oibríoch",116,3.37619
"réaltach",115,3.34708
"tuil",115,3.34708
"siúrál",115,3.34708
"fógrai",115,3.34708
"cruinniú",115,3.34708
"timpeallaigh",115,3.34708
"carrach",115,3.34708
"aos",115,3.34708
"tarchuir",115,3.34708
"muirí",115,3.34708
"díomách",114,3.31798
"diúltaigh",114,3.31798
"bíseach",114,3.31798
"forás",114,3.31798
"codlatach",114,3.31798
"marbhánta",113,3.28887
"eaglach",113,3.28887
"seanaimseartha",113,3.28887
"tarcaisneach",113,3.28887
"rithimeach",112,3.25977
"eangach",112,3.25977
"ádhúil",112,3.25977
"teanntaigh",112,3.25977
"neamhoifigiúil",111,3.23066
"meas",111,3.23066
"grástúil",111,3.23066
"bruith",111,3.23066
"goid",111,3.23066
"aontaobhach",111,3.23066
"inspéise",111,3.23066
"muirneach",111,3.23066
"lárphoin",111,3.23066
"scéalach",111,3.23066
"creagach",111,3.23066
"anamúil",110,3.20156
"ócáideach",110,3.20156
"creathnach",110,3.20156
"Naitsíoch",110,3.20156
"mílítheach",110,3.20156
"spás",110,3.20156
"místuama",110,3.20156
"áthasach",110,3.20156
"ligthe",110,3.20156
"seachantach",110,3.20156
"aonaránach",110,3.20156
"leachtach",110,3.20156
"truacánta",110,3.20156
"diail",109,3.17245
"gréag",109,3.17245
"buiséad",109,3.17245
"aigeanta",109,3.17245
"spréigh",109,3.17245
"iartharach",108,3.14335
"leantach",108,3.14335
"deisbhéalach",108,3.14335
"fáistineach",108,3.14335
"osnádúrtha",108,3.14335
"ríméadach",107,3.11424
"mí-oiriúnach",107,3.11424
"tráigh",107,3.11424
"fíneálta",107,3.11424
"gaofar",107,3.11424
"múnlaigh",107,3.11424
"sainigh",107,3.11424
"páistiúil",106,3.08514
"closamhairc",106,3.08514
"meirbh",106,3.08514
"páirceáil",106,3.08514
"eacnam",105,3.05603
"sinseartha",105,3.05603
"scuab",105,3.05603
"ceadúnaigh",105,3.05603
"uathúil",105,3.05603
"aithnidiúil",105,3.05603
"cáinteach",105,3.05603
"chaomhnai",105,3.05603
"dli",105,3.05603
"féaráilte",104,3.02693
"reibiliún",104,3.02693
"mói",104,3.02693
"plúch",104,3.02693
"tútach",104,3.02693
"urchomhaireach",104,3.02693
"crosach",103,2.99782
"parlaiminteach",103,2.99782
"scairteach",103,2.99782
"cliathach",103,2.99782
"féinfhostai",103,2.99782
"oibleagáideach",103,2.99782
"gaisciúil",103,2.99782
"colgach",103,2.99782
"cúisigh",103,2.99782
"caifeach",103,2.99782
"mionghearr",103,2.99782
"altach",102,2.96872
"rothlaigh",102,2.96872
"scannalach",102,2.96872
"caolchúiseach",102,2.96872
"dualdai",102,2.96872
"ghnoi",102,2.96872
"cinnteoireach",101,2.93961
"tionóntai",101,2.93961
"ribeach",101,2.93961
"leanbaí",101,2.93961
"cáipéiseach",101,2.93961
"poll",101,2.93961
"céillí",101,2.93961
"fuascail",100,2.91051
"neamhshaolta",100,2.91051
"gnóthaigh",100,2.91051
"gráinneach",100,2.91051
"féarmhar",100,2.91051
"dheireann",100,2.91051
"tréadach",100,2.91051
"cum",100,2.91051
"uileghabhálach",100,2.91051
"críon",99,2.88140
"uasta",99,2.88140
"síodúil",99,2.88140
"cumtha",99,2.88140
"ionsaí",99,2.88140
"coscrach",99,2.88140
"freagair",99,2.88140
"tiomnaigh",98,2.85230
"aislingeach",98,2.85230
"dochloíte",98,2.85230
"gaibh",98,2.85230
"ioslam",98,2.85230
"mistéireach",98,2.85230
"múr",98,2.85230
"gréi",98,2.85230
"diaganta",97,2.82319
"Normannach",97,2.82319
"imirceach",97,2.82319
"comhoibrigh",97,2.82319
"carnach",97,2.82319
"neafaiseach",97,2.82319
"cruógach",97,2.82319
"aeistéitiúil",97,2.82319
"fiar",97,2.82319
"geografach",97,2.82319
"ghinmhill",96,2.79409
"dúnmharaigh",96,2.79409
"nuaíoch",96,2.79409
"beathaithe",96,2.79409
"deifreach",96,2.79409
"amscaí",96,2.79409
"míshocair",96,2.79409
"paiseanta",95,2.76498
"tosnaigh",95,2.76498
"ceansa",95,2.76498
"fáiscthe",95,2.76498
"amaitéarach",95,2.76498
"iaigh",95,2.76498
"rianta",94,2.73588
"amplach",94,2.73588
"meafarach",94,2.73588
"rocach",93,2.70677
"dochrach",93,2.70677
"fiuch",93,2.70677
"pinc",93,2.70677
"taibhsiúil",93,2.70677
"mothúchán",93,2.70677
"bánaigh",93,2.70677
"uiríseal",93,2.70677
"miotalach",93,2.70677
"drámat",93,2.70677
"teifeach",92,2.67767
"oibríocht",92,2.67767
"sciamhach",92,2.67767
"buaicphoin",92,2.67767
"stadach",92,2.67767
"lúb",92,2.67767
"suthain",92,2.67767
"scaoilte",92,2.67767
"beannachtach",92,2.67767
"comhardaigh",92,2.67767
"cleasach",92,2.67767
"ciontaigh",91,2.64856
"dronnach",91,2.64856
"cúirtéiseach",91,2.64856
"liostaigh",91,2.64856
"meil",91,2.64856
"drochmhúinte",91,2.64856
"díocasach",90,2.61946
"buaircíneach",90,2.61946
"fabhtach",90,2.61946
"scolártha",90,2.61946
"coiriúlach",90,2.61946
"staidéarach",90,2.61946
"comparáideach",90,2.61946
"caomh",90,2.61946
"réadach",90,2.61946
"cúlráideach",90,2.61946
"uiscebheal",90,2.61946
"beir",90,2.61946
"fhorordai",90,2.61946
"tipiciúil",89,2.59035
"sceidealta",89,2.59035
"sách",89,2.59035
"cosantach",89,2.59035
"deachúlach",89,2.59035
"Críostúil",89,2.59035
"dosheachanta",89,2.59035
"gainmheach",88,2.56125
"cnapánach",88,2.56125
"neamhfhoirmeál",87,2.53214
"pian",87,2.53214
"spraíúil",87,2.53214
"scáin",87,2.53214
"graosta",87,2.53214
"síciatr",87,2.53214
"gcinnlín",87,2.53214
"neamhbheo",87,2.53214
"léiritheach",87,2.53214
"eabhr",86,2.50304
"titi",86,2.50304
"géilliúil",86,2.50304
"garg",86,2.50304
"liathbhán",86,2.50304
"éag",86,2.50304
"incháili",86,2.50304
"dtreoirlín",86,2.50304
"míchuí",85,2.47393
"ciap",85,2.47393
"céadfach",85,2.47393
"modhúil",85,2.47393
"dásachtach",84,2.44483
"smaointeoireach",84,2.44483
"bómánta",84,2.44483
"gníomhaigh",84,2.44483
"sibhialtach",84,2.44483
"gáifeach",84,2.44483
"stálaithe",84,2.44483
"sócúlach",84,2.44483
"carraigeach",84,2.44483
"leatromach",84,2.44483
"suaite",84,2.44483
"pointeáilte",84,2.44483
"oirirc",83,2.41572
"bláfar",83,2.41572
"préach",83,2.41572
"péinteáil",83,2.41572
"arab",83,2.41572
"phóilíneach",83,2.41572
"corraigh",83,2.41572
"intleachtach",83,2.41572
"loit",83,2.41572
"bearnach",83,2.41572
"meanmnach",83,2.41572
"greann",83,2.41572
"cloígh",82,2.38662
"rannpháirtíoch",82,2.38662
"pléascach",82,2.38662
"comaoineach",82,2.38662
"cleiteach",82,2.38662
"deorach",82,2.38662
"snaidhm",81,2.35751
"mhodhnui",81,2.35751
"niamhrach",81,2.35751
"tuig",81,2.35751
"céas",81,2.35751
"inite",81,2.35751
"ceilteach",81,2.35751
"meascai",81,2.35751
"idirchreidmheach",81,2.35751
"mímhúinte",81,2.35751
"h-áiri",80,2.32841
"tláith",80,2.32841
"forlíont",80,2.32841
"ómósach",80,2.32841
"míréasúnta",80,2.32841
"stríocach",80,2.32841
"uchtaigh",80,2.32841
"cothaitheach",80,2.32841
"leibhéalta",80,2.32841
"luaineach",80,2.32841
"toirmisc",80,2.32841
"deoranta",80,2.32841
"maolaigh",80,2.32841
"fhoirmeál",80,2.32841
"córas",79,2.29930
"cian",79,2.29930
"fealsún",79,2.29930
"réasúnaigh",79,2.29930
"breoite",79,2.29930
"tréimhsiúil",79,2.29930
"treoraigh",79,2.29930
"leataobhach",79,2.29930
"lánchumhachtach",79,2.29930
"ciúbach",79,2.29930
"rannach",78,2.27020
"gustalach",78,2.27020
"bulaíoch",78,2.27020
"scothaos",78,2.27020
"ghearmán",78,2.27020
"táirgíoch",78,2.27020
"sábhál",78,2.27020
"píolót",78,2.27020
"siollach",78,2.27020
"isiméadr",78,2.27020
"aspalda",78,2.27020
"dearbh",78,2.27020
"luchtaigh",78,2.27020
"neamhchosúil",78,2.27020
"scag",78,2.27020
"tslánai",78,2.27020
"bánbhuí",78,2.27020
"séalaigh",78,2.27020
"rúndiamhrach",77,2.24109
"trioblóideach",77,2.24109
"caoithiúil",77,2.24109
"faobhrach",77,2.24109
"tabhaigh",77,2.24109
"gangaideach",77,2.24109
"péacach",77,2.24109
"caointeach",77,2.24109
"cuasach",77,2.24109
"doirt",77,2.24109
"leonta",76,2.21199
"mheánaos",76,2.21199
"ortagraf",76,2.21199
"sochrach",76,2.21199
"fhadtéarm",76,2.21199
"tadhlach",76,2.21199
"sócmhainneach",76,2.21199
"banúil",76,2.21199
"leathnaigh",76,2.21199
"dóchúil",76,2.21199
"éadmhar",76,2.21199
"neamheaglach",76,2.21199
"tathagach",76,2.21199
"náir",75,2.18288
"dóthanach",75,2.18288
"soilbhir",75,2.18288
"réab",75,2.18288
"coilíneach",75,2.18288
"sintéiseach",75,2.18288
"fáiltigh",75,2.18288
"féasóg",75,2.18288
"ualaigh",75,2.18288
"foscúil",75,2.18288
"homaighnéas",75,2.18288
"oiriúnaigh",74,2.15378
"dúisigh",74,2.15378
"clóigh",74,2.15378
"coimirceach",74,2.15378
"feabhsui",74,2.15378
"saill",74,2.15378
"stuacach",74,2.15378
"sonasach",74,2.15378
"da",74,2.15378
"giortach",74,2.15378
"dílsigh",73,2.12467
"tuathalach",73,2.12467
"fhoilsi",73,2.12467
"scaipi",73,2.12467
"dronuilleog",73,2.12467
"nuaphósta",73,2.12467
"oileánach",73,2.12467
"suaimhneasach",73,2.12467
"infheidhmi",73,2.12467
"barainneach",73,2.12467
"séan",73,2.12467
"loighciúil",73,2.12467
"lúbach",73,2.12467
"chorprai",73,2.12467
"súigh",72,2.09557
"cháin",72,2.09557
"sléibhtiúil",72,2.09557
"mar",72,2.09557
"samhalta",72,2.09557
"ghnáth",72,2.09557
"scól",72,2.09557
"ginmhill",72,2.09557
"poblachtai",72,2.09557
"sultmhar",72,2.09557
"dleath",72,2.09557
"cíor",72,2.09557
"urchóideach",72,2.09557
"dathannach",72,2.09557
"meallacach",72,2.09557
"mhothúchán",72,2.09557
"tarmlig",71,2.06646
"fuaraigh",71,2.06646
"fulaing",71,2.06646
"mífholláin",71,2.06646
"créachtaigh",71,2.06646
"threoirlín",71,2.06646
"comhlántach",71,2.06646
"iarr",71,2.06646
"fonóideach",71,2.06646
"cuardach",70,2.03736
"tréitheach",70,2.03736
"giobach",70,2.03736
"sealbhach",70,2.03736
"doshárai",70,2.03736
"gin",70,2.03736
"teanntásach",70,2.03736
"leibideach",70,2.03736
"dean",70,2.03736
"tairiseach",70,2.03736
"diabhalta",70,2.03736
"mhaoini",70,2.03736
"míshásúil",70,2.03736
"cosnochta",69,2.00825
"faisisteach",69,2.00825
"guagach",69,2.00825
"sloinn",69,2.00825
"liotúirgeach",69,2.00825
"céadluai",69,2.00825
"cíili",69,2.00825
"neamhaí",69,2.00825
"múscail",69,2.00825
"másach",68,1.97915
"sraoilleach",68,1.97915
"díonach",68,1.97915
"bheartai",68,1.97915
"rianúil",68,1.97915
"fionraíoch",68,1.97915
"tréidliach",68,1.97915
"cailceach",68,1.97915
"córach",68,1.97915
"coimhdeach",68,1.97915
"meata",68,1.97915
"thréig",68,1.97915
"táirgeach",67,1.95004
"aimrid",67,1.95004
"cobhsaí",67,1.95004
"smachtaigh",67,1.95004
"torannach",67,1.95004
"normálta",67,1.95004
"faon",67,1.95004
"scóipiúil",67,1.95004
"searg",67,1.95004
"Seoirseach",67,1.95004
"stiúg",67,1.95004
"nuabheirthe",67,1.95004
"seapán",67,1.95004
"eiseamláireach",67,1.95004
"ísligh",67,1.95004
"urrúnta",67,1.95004
"ionn",67,1.95004
"leasaitheach",67,1.95004
"deisiúil",67,1.95004
"nuabhunai",66,1.92094
"broghach",66,1.92094
"léiriú",66,1.92094
"fulangach",66,1.92094
"critheaglach",66,1.92094
"uai",66,1.92094
"codarsnach",66,1.92094
"bácáil",66,1.92094
"mianrach",66,1.92094
"cuideachtúil",66,1.92094
"slói",66,1.92094
"tionscain",65,1.89183
"creidiúnaigh",65,1.89183
"stoi",65,1.89183
"creidte",65,1.89183
"boilscigh",65,1.89183
"iolrach",65,1.89183
"ionsaitheach",65,1.89183
"ladhrach",65,1.89183
"Anglacánach",65,1.89183
"iontaiseach",65,1.89183
"neadaigh",65,1.89183
"lagbhríoch",64,1.86272
"seanfhaiseanta",64,1.86272
"fáisci",64,1.86272
"craptha",64,1.86272
"téarma",64,1.86272
"liostáil",64,1.86272
"friseáilte",64,1.86272
"uafar",64,1.86272
"ceisteach",64,1.86272
"anabaí",64,1.86272
"comhchuibhi",64,1.86272
"drochbhéasach",64,1.86272
"neamhphearsanta",63,1.83362
"díobh",63,1.83362
"cinnlín",63,1.83362
"comhlachai",63,1.83362
"scai",63,1.83362
"snáithíneach",63,1.83362
"ordúil",63,1.83362
"tnáite",63,1.83362
"biotáil",63,1.83362
"feidhmíoch",63,1.83362
"caibidlíoch",63,1.83362
"gliondrach",63,1.83362
"nótál",63,1.83362
"tuar",63,1.83362
"ámharach",63,1.83362
"canta",63,1.83362
"spadánta",63,1.83362
"deisigh",63,1.83362
"cinntigh",62,1.80451
"fholai",62,1.80451
"brúite",62,1.80451
"astrál",62,1.80451
"Proinsiasach",62,1.80451
"sealbhaigh",62,1.80451
"éacúiméineach",62,1.80451
"gluais",62,1.80451
"sil",62,1.80451
"mínáireach",62,1.80451
"phíolót",61,1.77541
"polann",61,1.77541
"máistriúil",61,1.77541
"tromaí",61,1.77541
"comhlárnach",61,1.77541
"feann",61,1.77541
"airgeadúil",61,1.77541
"creidiúnach",61,1.77541
"cócaráil",61,1.77541
"beadaí",61,1.77541
"loisc",61,1.77541
"diabhlaí",61,1.77541
"chomhlánai",61,1.77541
"frioch",61,1.77541
"lámhdhéan",60,1.74630
"nuachóiri",60,1.74630
"odhar",60,1.74630
"fheabhsai",60,1.74630
"maígh",60,1.74630
"triarach",60,1.74630
"guaireach",60,1.74630
"imoibrigh",60,1.74630
"cealgach",60,1.74630
"allúrach",60,1.74630
"fhorás",60,1.74630
"nei",59,1.71720
"débhríoch",59,1.71720
"dúbal",59,1.71720
"míchumasach",59,1.71720
"rachmasach",59,1.71720
"ciorraigh",59,1.71720
"radaighníomh",59,1.71720
"sas",59,1.71720
"faomh",59,1.71720
"spórtúil",59,1.71720
"Marxach",59,1.71720
"gairmeach",59,1.71720
"uigeach",59,1.71720
"in-athnuai",59,1.71720
"oirthearach",59,1.71720
"marach",59,1.71720
"iarmhartach",59,1.71720
"óltach",59,1.71720
"dréachtaigh",59,1.71720
"peacúil",58,1.68809
"cionmhar",58,1.68809
"aonchineálach",58,1.68809
"ailtéarn",58,1.68809
"comhréidh",58,1.68809
"phoblachtán",58,1.68809
"spíonach",58,1.68809
"tosaí",58,1.68809
"stánaigh",58,1.68809
"atmaisféarach",58,1.68809
"stóráil",58,1.68809
"claonta",58,1.68809
"uilleach",58,1.68809
"bíobalta",58,1.68809
"creathach",58,1.68809
"leigheas",58,1.68809
"maolchluasach",58,1.68809
"drabhlásach",58,1.68809
"ciardhubh",57,1.65899
"beartach",57,1.65899
"peiriad",57,1.65899
"maoth",57,1.65899
"sonraíoch",57,1.65899
"breathnóireach",57,1.65899
"cumhdaigh",57,1.65899
"údarui",57,1.65899
"imeallai",57,1.65899
"lasta",57,1.65899
"leithleas",57,1.65899
"geanmnaí",57,1.65899
"mionchruinn",57,1.65899
"mímhacánta",57,1.65899
"idirdhealaigh",57,1.65899
"dumh",57,1.65899
"ghréag",56,1.62988
"táir",56,1.62988
"pléasc",56,1.62988
"rothlach",56,1.62988
"sceith",56,1.62988
"brabúsach",56,1.62988
"shaini",56,1.62988
"sochai",56,1.62988
"féiltiúil",56,1.62988
"támáilte",56,1.62988
"cáidheach",56,1.62988
"alcólach",56,1.62988
"balla",56,1.62988
"Artach",56,1.62988
"sólásach",56,1.62988
"bolcánach",56,1.62988
"taghdach",56,1.62988
"dlítheanach",56,1.62988
"éidreorach",56,1.62988
"teip",55,1.60078
"srois",55,1.60078
"pas",55,1.60078
"cuidigh",55,1.60078
"postúil",55,1.60078
"rómhán",55,1.60078
"qui",55,1.60078
"gnai",55,1.60078
"comhairligh",55,1.60078
"tric",55,1.60078
"sta",55,1.60078
"cruthach",55,1.60078
"cor",55,1.60078
"tuairiscigh",55,1.60078
"cineálach",55,1.60078
"lastuaidh",55,1.60078
"súmhar",55,1.60078
"tabharthach",55,1.60078
"ceannródaíoch",55,1.60078
"foshuiteach",55,1.60078
"árann",55,1.60078
"silteach",55,1.60078
"slim",55,1.60078
"ghnai",54,1.57167
"aimhréidh",54,1.57167
"ra",54,1.57167
"plúchtach",54,1.57167
"eithneach",54,1.57167
"amann",54,1.57167
"glúin",54,1.57167
"broidiúil",54,1.57167
"scall",54,1.57167
"nualitríoch",54,1.57167
"foclóireach",54,1.57167
"coinbhleach",54,1.57167
"coisc",54,1.57167
"talmhaí",54,1.57167
"mótarbheal",54,1.57167
"gnáthach",54,1.57167
"graf",54,1.57167
"sgithean",54,1.57167
"formheas",54,1.57167
"la",54,1.57167
"wri",54,1.57167
"lasánta",54,1.57167
"liathchorcra",54,1.57167
"lonnaíoch",54,1.57167
"machnamhach",54,1.57167
"dólásach",54,1.57167
"maíteach",54,1.57167
"ainmniúil",54,1.57167
"tarl",54,1.57167
"drithleach",54,1.57167
"neartmhar",53,1.54257
"díshealbhaigh",53,1.54257
"tiarnúil",53,1.54257
"riascach",53,1.54257
"béil",53,1.54257
"comhshleasach",53,1.54257
"clóbhuail",53,1.54257
"bagarth",53,1.54257
"earráideach",53,1.54257
"h-ái",53,1.54257
"cadránta",53,1.54257
"gaelscolaíoch",53,1.54257
"iontuig",53,1.54257
"ceansaigh",53,1.54257
"dhál",53,1.54257
"spárálach",53,1.54257
"nuál",52,1.51346
"gágach",52,1.51346
"rangaigh",52,1.51346
"forfheidhmi",52,1.51346
"drúisiúil",52,1.51346
"mórchúiseach",52,1.51346
"grách",52,1.51346
"crúbach",52,1.51346
"bundúchasach",52,1.51346
"cinni",52,1.51346
"sioc",52,1.51346
"mothaitheach",52,1.51346
"mhéirean",52,1.51346
"chomhleacai",52,1.51346
"neamhshuimiúil",51,1.48436
"patuar",51,1.48436
"scrupallach",51,1.48436
"toiliúil",51,1.48436
"suibiachtúil",51,1.48436
"tuaslaig",51,1.48436
"idirghníomh",51,1.48436
"ilteangach",51,1.48436
"infheistigh",51,1.48436
"dolúbtha",51,1.48436
"insroich",51,1.48436
"deabhóideach",51,1.48436
"deataigh",51,1.48436
"deonaigh",51,1.48436
"silíneach",51,1.48436
"malartaigh",51,1.48436
"neamhchúiseach",51,1.48436
"taise",51,1.48436
"doshéanta",50,1.45525
"cinnireach",50,1.45525
"dreasach",50,1.45525
"bhriotan",50,1.45525
"athnuai",50,1.45525
"sasanach",50,1.45525
"solasmhar",50,1.45525
"solúbthach",50,1.45525
"solad",50,1.45525
"treallchogai",50,1.45525
"tiontaigh",50,1.45525
"baistí",50,1.45525
"iomadaigh",50,1.45525
"urramach",50,1.45525
"corrthónach",50,1.45525
"lagaigh",50,1.45525
"bhaili",50,1.45525
"meargánta",50,1.45525
"mionathrui",50,1.45525
"mioscaiseach",50,1.45525
"slíoctha",49,1.42615
"cogain",49,1.42615
"bíogúil",49,1.42615
"confach",49,1.42615
"atai",49,1.42615
"timpisteach",49,1.42615
"comair",49,1.42615
"íont",49,1.42615
"garran",49,1.42615
"afrac",49,1.42615
"róin",49,1.42615
"dearcach",49,1.42615
"athfheisti",49,1.42615
"fron",49,1.42615
"díon",48,1.39704
"fhoirgni",48,1.39704
"saothrach",48,1.39704
"fireannach",48,1.39704
"comhtháthai",48,1.39704
"sonra",48,1.39704
"thíos-síni",48,1.39704
"corónach",48,1.39704
"greamaitheach",48,1.39704
"bagair",48,1.39704
"can",48,1.39704
"ábharth",48,1.39704
"beannach",48,1.39704
"eachtrúil",47,1.36794
"chlói",47,1.36794
"reophoin",47,1.36794
"feodach",47,1.36794
"trasnáisiún",47,1.36794
"fódl",47,1.36794
"tromchroíoch",47,1.36794
"iosrael",47,1.36794
"whi",47,1.36794
"intinneach",47,1.36794
"séanmhar",47,1.36794
"basc",47,1.36794
"leithreasui",47,1.36794
"cuideáin",47,1.36794
"ceomhar",47,1.36794
"méadrach",47,1.36794
"mórthaibhseach",47,1.36794
"fuadrach",46,1.33883
"piseogach",46,1.33883
"míchéadfach",46,1.33883
"sei",46,1.33883
"formhothaithe",46,1.33883
"briotach",46,1.33883
"comhcheangail",46,1.33883
"smolchaite",46,1.33883
"spéiriúil",46,1.33883
"sceimhligh",46,1.33883
"teilg",46,1.33883
"príosúntach",46,1.33883
"forghníomhai",46,1.33883
"céimneach",46,1.33883
"haontachtai",46,1.33883
"car",46,1.33883
"iomlánai",46,1.33883
"simpligh",46,1.33883
"choisric",46,1.33883
"doilíosach",46,1.33883
"achtaigh",46,1.33883
"chruthai",46,1.33883
"fuadaigh",45,1.30973
"análaigh",45,1.30973
"aineoil",45,1.30973
"aonteang",45,1.30973
"scor",45,1.30973
"clóscríobh",45,1.30973
"coláisteach",45,1.30973
"státurraithe",45,1.30973
"taepho",45,1.30973
"sochma",45,1.30973
"féideartha",45,1.30973
"sprionlaithe",45,1.30973
"fodhlí",45,1.30973
"síceach",45,1.30973
"fóillíoch",45,1.30973
"craos",45,1.30973
"tonnúil",45,1.30973
"allmhairigh",45,1.30973
"sáithigh",45,1.30973
"inchomórtais",45,1.30973
"deachúil",45,1.30973
"adharcach",45,1.30973
"mhargaíoch",45,1.30973
"chomhlachai",45,1.30973
"mímhorálta",45,1.30973
"míthráthúil",45,1.30973
"cinntitheach",44,1.28062
"antráthach",44,1.28062
"tái",44,1.28062
"braistin",44,1.28062
"dobrónach",44,1.28062
"fiata",44,1.28062
