"corpus","gaeilge2"
"subcorpus","-"
"moilleadóireacht",111,3.23066
"dí-armáil",111,3.23066
"díchoimisiúnú",111,3.23066
"ceartú",110,3.20156
"org",110,3.20156
"del",110,3.20156
"blúiríní",110,3.20156
"crústa",110,3.20156
"curadóireacht",110,3.20156
"cogarnaíl",110,3.20156
"Ghaelscolaíocht",110,3.20156
"mbeagnach",110,3.20156
"tarraiceán",110,3.20156
"óráidí",110,3.20156
"Aoláin",110,3.20156
"Lorna",110,3.20156
"déad",110,3.20156
"Aint",110,3.20156
"Antonio",110,3.20156
"reachtaire",110,3.20156
"Dean",110,3.20156
"caoireoil",110,3.20156
"athbhunú",110,3.20156
"Amen",110,3.20156
"geirbe",110,3.20156
"rámhaille",110,3.20156
"gasúraí",110,3.20156
"madaí",110,3.20156
"Band",110,3.20156
"simpligh",110,3.20156
"Faoláin",110,3.20156
"ngearmánach",110,3.20156
"seamróg",110,3.20156
"ever",110,3.20156
"From",110,3.20156
"Bléine",110,3.20156
"Bhricriú",110,3.20156
"Gealbháin",110,3.20156
"leitís",110,3.20156
"cnead",110,3.20156
"fiaigh",110,3.20156
"section",110,3.20156
"sileadh",109,3.17245
"Bernie",109,3.17245
"Tara",109,3.17245
"Cowen",109,3.17245
"Flórans",109,3.17245
"haighneachtaí",109,3.17245
"Evan",109,3.17245
"bitseach",109,3.17245
"Treaty",109,3.17245
"colpa",109,3.17245
"heisiach",109,3.17245
"réada",109,3.17245
"Rebecca",109,3.17245
"aoirde",109,3.17245
"cairéal",109,3.17245
"picnic",109,3.17245
"muircheartach",109,3.17245
"lonnú",109,3.17245
"sin-",109,3.17245
"buaidh",109,3.17245
"drisiúr",109,3.17245
"ceintiméadar",109,3.17245
"end",109,3.17245
"tuairt",109,3.17245
"sainordú",109,3.17245
"ceobhrán",109,3.17245
"dóib",109,3.17245
"ogham",109,3.17245
"tochais",109,3.17245
"Cody",109,3.17245
"copail",109,3.17245
"Oban",108,3.14335
"dílsigh",108,3.14335
"Kenneth",108,3.14335
"craith",108,3.14335
"against",108,3.14335
"Action",108,3.14335
"Briotanaigh",108,3.14335
"lábán",108,3.14335
"claochlaigh",108,3.14335
"Foghlú",108,3.14335
"War",108,3.14335
"aicearra",108,3.14335
"Superman",108,3.14335
"slisín",108,3.14335
"slogtha",108,3.14335
"vacsaín",108,3.14335
"óstóir",108,3.14335
"Cunningham",108,3.14335
"Blaney",108,3.14335
"agas",108,3.14335
"McMillen",108,3.14335
"snámhaí",108,3.14335
"Maoil",108,3.14335
"litearthacht",108,3.14335
"scairbh",108,3.14335
"fhuinneoig",108,3.14335
"Story",108,3.14335
"coibhéis",108,3.14335
"Molly",108,3.14335
"Watson",108,3.14335
"Nil",108,3.14335
"lile",108,3.14335
"Rosemary",108,3.14335
"dheinis",108,3.14335
"Bess",108,3.14335
"Béaslaí",108,3.14335
"Council",108,3.14335
"blús",108,3.14335
"báinín",108,3.14335
"fardal",108,3.14335
"Lenihan",108,3.14335
"Kilkenny",108,3.14335
"liag",108,3.14335
"haitéir",108,3.14335
"Éireamhón",107,3.11424
"Guide",107,3.11424
"Lear",107,3.11424
"leamhan",107,3.11424
"craobhóg",107,3.11424
"bad",107,3.11424
"taraif",107,3.11424
"clis",107,3.11424
"léachtóireacht",107,3.11424
"gineadóir",107,3.11424
"brod",107,3.11424
"míniúchán",107,3.11424
"Manhattan",107,3.11424
"miondíoltóir",107,3.11424
"Geppetto",107,3.11424
"Beal",107,3.11424
"national",107,3.11424
"Eithir",107,3.11424
"stailceoir",107,3.11424
"crosáid",107,3.11424
"plámás",107,3.11424
"Nick",107,3.11424
"calóg",107,3.11424
"Guaire",107,3.11424
"Mandela",107,3.11424
"osnaíl",107,3.11424
"inter",107,3.11424
"cuntaois",107,3.11424
"things",107,3.11424
"céide",107,3.11424
"tona",107,3.11424
"sholáthraigh",107,3.11424
"Annraoi",107,3.11424
"blár",107,3.11424
"sreinge",107,3.11424
"Norman",107,3.11424
"cumraíocht",107,3.11424
"aisfhreagra",107,3.11424
"Lavelle",107,3.11424
"thaithin",107,3.11424
"muirbheach",106,3.08514
"Howlin",106,3.08514
"Glaisne",106,3.08514
"Gerald",106,3.08514
"claibín",106,3.08514
"damnú",106,3.08514
"gread",106,3.08514
"peadairín",106,3.08514
"pub",106,3.08514
"nóibhíseach",106,3.08514
"Haughey",106,3.08514
"fáistine",106,3.08514
"pádraicín",106,3.08514
"Evening",106,3.08514
"gealas",106,3.08514
"Áirne",106,3.08514
"Donnacha",106,3.08514
"Keogh",106,3.08514
"Spillane",106,3.08514
"díolaíocht",106,3.08514
"dlaoi",106,3.08514
"bernadette",106,3.08514
"deifre",106,3.08514
"Eastóin",106,3.08514
"Mala",106,3.08514
"crochadóir",106,3.08514
"Where",106,3.08514
"róibín",106,3.08514
"fuadach",106,3.08514
"around",106,3.08514
"siméadracht",106,3.08514
"mioneolas",106,3.08514
"Cole",106,3.08514
"haíonna",106,3.08514
"Bheartla",106,3.08514
"Free",106,3.08514
"sceadamán",106,3.08514
"aibíd",105,3.05603
"gaiscígh",105,3.05603
"Aidan",105,3.05603
"gráinneog",105,3.05603
"fuireach",105,3.05603
"Araib",105,3.05603
"léasóir",105,3.05603
"sinsearacht",105,3.05603
"cnámharlach",105,3.05603
"Gorman",105,3.05603
"olar",105,3.05603
"eipic",105,3.05603
"clóbhuail",105,3.05603
"Gaora",105,3.05603
"éigeant",105,3.05603
"McMahon",105,3.05603
"smachtbhanna",105,3.05603
"garrán",105,3.05603
"thing",105,3.05603
"Killoran",105,3.05603
"fearsaid",105,3.05603
"paimfléad",105,3.05603
"Jordan",105,3.05603
"Monnet",105,3.05603
"Europe",105,3.05603
"amount",105,3.05603
"faide",105,3.05603
"cláiríneach",105,3.05603
"fiacal",105,3.05603
"naprún",105,3.05603
"Siadhail",105,3.05603
"fliúit",105,3.05603
"Boylan",105,3.05603
"fíniúin",105,3.05603
"Treoirlínte",105,3.05603
"foghlaí",104,3.02693
"díomhaointeas",104,3.02693
"Christian",104,3.02693
"Feilimí",104,3.02693
"forlíontacha",104,3.02693
"Lou",104,3.02693
"cleasanna",104,3.02693
"úil",104,3.02693
"gconaí",104,3.02693
"frídín",104,3.02693
"próiséas",104,3.02693
"eascra",104,3.02693
"spúinse",104,3.02693
"múscailt",104,3.02693
"three",104,3.02693
"lógó",104,3.02693
"bulla",104,3.02693
"piorra",104,3.02693
"pióg",104,3.02693
"moing",104,3.02693
"béiceach",104,3.02693
"Alfred",104,3.02693
"Cathmhaoil",104,3.02693
"shrois",104,3.02693
"rua",104,3.02693
"stuaic",104,3.02693
"Iúgslaiv",104,3.02693
"veist",104,3.02693
"Isaac",104,3.02693
"milseacht",104,3.02693
"t-ombudsman",104,3.02693
"pailm",104,3.02693
"buaircín",104,3.02693
"Cadhla",104,3.02693
"thóig",104,3.02693
"ochón",104,3.02693
"Tríona",104,3.02693
"stáca",104,3.02693
"diúilicín",104,3.02693
"seachadadh",104,3.02693
"ceirín",104,3.02693
"ró-",104,3.02693
"patról",104,3.02693
"zú",104,3.02693
"Irwin",104,3.02693
"goes",104,3.02693
"Iúpatar",104,3.02693
"Inid",104,3.02693
"bladar",103,2.99782
"Good",103,2.99782
"Office",103,2.99782
"sreangán",103,2.99782
"Edmund",103,2.99782
"maíomh",103,2.99782
"maraí",103,2.99782
"Aran",103,2.99782
"caighdeánaigh",103,2.99782
"frustrachas",103,2.99782
"heicteár",103,2.99782
"téitheoir",103,2.99782
"Row",103,2.99782
"suaith",103,2.99782
"Bead",103,2.99782
"Harrison",103,2.99782
"borr",103,2.99782
"rialtóir",103,2.99782
"ropaire",103,2.99782
"buaiceas",103,2.99782
"criathar",103,2.99782
"Eag",103,2.99782
"cóipcheart",103,2.99782
"Abhcóidí",103,2.99782
"Donovan",103,2.99782
"public",103,2.99782
"Chéilleachair",103,2.99782
"tinneall",103,2.99782
"áibhirseoir",103,2.99782
"fhorghníomh",103,2.99782
"feochadán",103,2.99782
"Ailín",103,2.99782
"Riabhaigh",103,2.99782
"Our",102,2.96872
"héanacha",102,2.96872
"Lagáin",102,2.96872
"folmhaigh",102,2.96872
"Curran",102,2.96872
"íocshláinte",102,2.96872
"free",102,2.96872
"Merle",102,2.96872
"Creag",102,2.96872
"tarchur",102,2.96872
"Maolfabhail",102,2.96872
"aiteas",102,2.96872
"Campion",102,2.96872
"maidrín",102,2.96872
"amannaí",102,2.96872
"Duinnín",102,2.96872
"Caolán",102,2.96872
"moltóireacht",102,2.96872
"car",102,2.96872
"caise",102,2.96872
"lorga",102,2.96872
"coimircí",102,2.96872
"Cronin",102,2.96872
"fhoscail",102,2.96872
"palaistíneach",102,2.96872
"Over",102,2.96872
"gaolmhaireacht",102,2.96872
"síciatraí",102,2.96872
"miondíol",102,2.96872
"Taispeáin",102,2.96872
"beannú",102,2.96872
"Max",102,2.96872
"fath",102,2.96872
"éilips",102,2.96872
"sreangscéal",101,2.93961
"grianghrafadóireacht",101,2.93961
"deifrigh",101,2.93961
"Harvard",101,2.93961
"tochas",101,2.93961
"Rabbitte",101,2.93961
"nascanna",101,2.93961
"cáim",101,2.93961
"bheil",101,2.93961
"Arafat",101,2.93961
"bromach",101,2.93961
"iarmhar",101,2.93961
"ózón",101,2.93961
"Dein",101,2.93961
"polla",101,2.93961
"Grant",101,2.93961
"campabasso",101,2.93961
"liobrálachas",101,2.93961
"Canathaobh",101,2.93961
"críochdheighilt",101,2.93961
"Ger",101,2.93961
"tathair",101,2.93961
"loc",101,2.93961
"Fiadhúlra",101,2.93961
"Years",101,2.93961
"cleachtóir",101,2.93961
"síceolaíoch",101,2.93961
"úirt",101,2.93961
"coiléar",101,2.93961
"leisc",101,2.93961
"Emer",101,2.93961
"síog",101,2.93961
"Fachtna",101,2.93961
"Céileachair",101,2.93961
"móran",101,2.93961
"Ross",101,2.93961
"nam",101,2.93961
"Seosaimhín",101,2.93961
"found",101,2.93961
"samhnas",101,2.93961
"Eoghainín",101,2.93961
"onnmhaire",101,2.93961
"speictream",101,2.93961
"gov",101,2.93961
"imreas",100,2.91051
"liamhás",100,2.91051
"bachall",100,2.91051
"baincéir",100,2.91051
"von",100,2.91051
"Gairbheith",100,2.91051
"siompóisiam",100,2.91051
"ndúthaigh",100,2.91051
"múchadh",100,2.91051
"bólaí",100,2.91051
"bladhaire",100,2.91051
"achasán",100,2.91051
"Arnold",100,2.91051
"Pronntaigh",100,2.91051
"sleán",100,2.91051
"Crowe",100,2.91051
"Padraig",100,2.91051
"pluma",100,2.91051
"muine",100,2.91051
"Newcastle",100,2.91051
"lámhacán",100,2.91051
"Donnelly",100,2.91051
"liachtaí",100,2.91051
"fonsa",100,2.91051
"Albainis",100,2.91051
"Abbey",100,2.91051
"Hanafin",100,2.91051
"Rochtain",100,2.91051
"oilteacht",100,2.91051
"deontóir",100,2.91051
"Caradail",100,2.91051
"dhéanfad",100,2.91051
"Méabha",100,2.91051
"fhollas",100,2.91051
"duibhe",100,2.91051
"gail",100,2.91051
"fhorfheidhmi",100,2.91051
"dea-",100,2.91051
"Ansbacher",99,2.88140
"Tascfhórsa",99,2.88140
"sciob",99,2.88140
"Éirne",99,2.88140
"thainig",99,2.88140
"forrán",99,2.88140
"draein",99,2.88140
"Togra",99,2.88140
"Anaconda",99,2.88140
"burla",99,2.88140
"Fóillíochta",99,2.88140
"caiscín",99,2.88140
"feilméaraí",99,2.88140
"crúibín",99,2.88140
"Scotland",99,2.88140
"Gréigis",99,2.88140
"land",99,2.88140
"FA",99,2.88140
"coiscín",99,2.88140
"Bheoláin",99,2.88140
"measarthacht",99,2.88140
"plódaigh",99,2.88140
"snúcar",99,2.88140
"Bruadair",99,2.88140
"Dowd",99,2.88140
"cileagram",99,2.88140
"Two",99,2.88140
"McWilliams",99,2.88140
"Affairs",99,2.88140
"custard",99,2.88140
"féinmharú",99,2.88140
"fhearra",99,2.88140
"poblachtaithe",99,2.88140
"smaointeoir",99,2.88140
"háithrid",99,2.88140
"Lambert",99,2.88140
"doirseoir",99,2.88140
"Wall",99,2.88140
"iolrachas",99,2.88140
"sconna",99,2.88140
"Crónán",98,2.85230
"fochuideachtaí",98,2.85230
"facs",98,2.85230
"seicheamh",98,2.85230
"dheánamh",98,2.85230
"gráinnín",98,2.85230
"dílse",98,2.85230
"Camus",98,2.85230
"Wheel",98,2.85230
"reibiliúnaigh",98,2.85230
"rialáil",98,2.85230
"Sionna",98,2.85230
"scrobarnach",98,2.85230
"upon",98,2.85230
"hann",98,2.85230
"cluaisín",98,2.85230
"targaid",98,2.85230
"nósa",98,2.85230
"pleidhcíocht",98,2.85230
"raiméis",98,2.85230
"ollphéist",98,2.85230
"leasmháthair",98,2.85230
"nuachóiri",98,2.85230
"prioc",98,2.85230
"America",98,2.85230
"anás",98,2.85230
"Franz",98,2.85230
"ialtóg",98,2.85230
"Fheabhail",98,2.85230
"Val",98,2.85230
"Rory",98,2.85230
"arraing",98,2.85230
"doirteadh",98,2.85230
"Dál",98,2.85230
"éagothroime",98,2.85230
"coimpléasc",98,2.85230
"gearrcach",98,2.85230
"Muimhnigh",98,2.85230
"tubaist",98,2.85230
"Lowry",98,2.85230
"earr",98,2.85230
"uasghrád",98,2.85230
"hand",98,2.85230
"giorraigh",98,2.85230
"tiomantas",98,2.85230
"loisceoir",98,2.85230
"draid",98,2.85230
"neadaigh",98,2.85230
"mháireach",97,2.82319
"France",97,2.82319
"dísc",97,2.82319
"Rio",97,2.82319
"tum",97,2.82319
"dúthaí",97,2.82319
"fuaire",97,2.82319
"Dlísheomra",97,2.82319
"Troim",97,2.82319
"Tiománaí",97,2.82319
"beacán",97,2.82319
"altraí",97,2.82319
"stáirse",97,2.82319
"marcshlua",97,2.82319
"Taigh",97,2.82319
"Cearbhaill",97,2.82319
"Tyrone",97,2.82319
"Gruagáin",97,2.82319
"póraitheoirí",97,2.82319
"Lough",97,2.82319
"Deirimse",97,2.82319
"Maonais",97,2.82319
"drom",97,2.82319
"read",97,2.82319
"sonc",97,2.82319
"suth",97,2.82319
"pléadáil",97,2.82319
"comhordaitheoir",97,2.82319
"clóscríobh",97,2.82319
"Bank",97,2.82319
"cóimheá",97,2.82319
"Nicky",97,2.82319
"seagal",97,2.82319
"Faracháin",97,2.82319
"fhurast",97,2.82319
"Kerr",97,2.82319
"crág",97,2.82319
"Éasau",97,2.82319
"bfhuil",97,2.82319
"rámhaíocht",97,2.82319
"Crois",97,2.82319
"mas",97,2.82319
"Réin",97,2.82319
"bundún",97,2.82319
"larbha",97,2.82319
"neamhiontas",97,2.82319
"saolaigh",97,2.82319
"Liag",96,2.79409
"Céilleachair",96,2.79409
"daigh",96,2.79409
"Caife",96,2.79409
"McGimpsey",96,2.79409
"Children",96,2.79409
"sról",96,2.79409
"stróinséir",96,2.79409
"Simone",96,2.79409
"cliseadh",96,2.79409
"cart",96,2.79409
"cloigtheach",96,2.79409
"bordáil",96,2.79409
"Tuile",96,2.79409
"atlas",96,2.79409
"amchlár",96,2.79409
"Miller",96,2.79409
"Tánn",96,2.79409
"bhárr",96,2.79409
"set",96,2.79409
"peannaireacht",96,2.79409
"struchtúracha",96,2.79409
"tosaitheoir",96,2.79409
"gaosán",96,2.79409
"Comhraí",96,2.79409
"might",96,2.79409
"Duncan",96,2.79409
"Matthew",96,2.79409
"ceannlitir",96,2.79409
"Maxwell",96,2.79409
"Mhuineacháin",96,2.79409
"Studies",96,2.79409
"céimseata",96,2.79409
"Springfield",96,2.79409
"Nolan",96,2.79409
"cúnant",96,2.79409
"deonú",96,2.79409
"umas",96,2.79409
"till",96,2.79409
"uchtála",96,2.79409
"Norma",96,2.79409
"damba",96,2.79409
"aint",96,2.79409
"Mario",96,2.79409
"básaigh",96,2.79409
"Davy",96,2.79409
"leadrán",95,2.76498
"tornóg",95,2.76498
"imeagl",95,2.76498
"guais",95,2.76498
"siorc",95,2.76498
"Betty",95,2.76498
"futhu",95,2.76498
"McDaid",95,2.76498
"Ollainn",95,2.76498
"historical",95,2.76498
"mogh",95,2.76498
"Íosagáin",95,2.76498
"uachtarlann",95,2.76498
"sás",95,2.76498
"Hart",95,2.76498
"bíog",95,2.76498
"séimhigh",95,2.76498
"rialaitheoir",95,2.76498
"cuspa",95,2.76498
"creidiúnaí",95,2.76498
"idéalachas",95,2.76498
"Hone",95,2.76498
"súmaire",95,2.76498
"spreacaí",95,2.76498
"dílleachtlann",95,2.76498
"tánaiste",95,2.76498
"music",95,2.76498
"Innti",95,2.76498
"tseanchas",95,2.76498
"Not",95,2.76498
"faca",95,2.76498
"ciabh",95,2.76498
"Cofaigh",95,2.76498
"úllord",95,2.76498
"leimhe",94,2.73588
"dílseánach",94,2.73588
"high",94,2.73588
"Beacháin",94,2.73588
"spád",94,2.73588
"cionroinn",94,2.73588
"Julia",94,2.73588
"Urnaí",94,2.73588
"door",94,2.73588
"Tipperary",94,2.73588
"maidean",94,2.73588
"Tomáis",94,2.73588
"Temple",94,2.73588
"athstruchtúrú",94,2.73588
"Herald",94,2.73588
"Finnegan",94,2.73588
"Song",94,2.73588
"Versailles",94,2.73588
"Clifford",94,2.73588
"Paris",94,2.73588
"Raymond",94,2.73588
"blastán",94,2.73588
"eitre",94,2.73588
"íor",94,2.73588
"Lodge",94,2.73588
"bleid",94,2.73588
"Daughter",94,2.73588
"Mandelson",94,2.73588
"callaire",94,2.73588
"aireagal",94,2.73588
"clólann",94,2.73588
"Seanaidh",94,2.73588
"tuairisceáin",94,2.73588
"sense",94,2.73588
"purgadóir",94,2.73588
"Osama",94,2.73588
"tíreolaíoch",94,2.73588
"aibhleog",94,2.73588
"Anderson",94,2.73588
"Claire",94,2.73588
"rásúr",94,2.73588
"Clochartaigh",94,2.73588
"Service",94,2.73588
"oideachasóir",93,2.70677
"sloinn",93,2.70677
"small",93,2.70677
"put",93,2.70677
"McGarvey",93,2.70677
"lán-Ghaelach",93,2.70677
"sraoth",93,2.70677
"únfairt",93,2.70677
"Indiaigh",93,2.70677
"laiste",93,2.70677
"Keating",93,2.70677
"nua-",93,2.70677
"Bull",93,2.70677
"úsaid",93,2.70677
"siansa",93,2.70677
"Mahony",93,2.70677
"Rúisis",93,2.70677
"mean",93,2.70677
"garastún",93,2.70677
"leasachán",93,2.70677
"idirphearsanta",93,2.70677
"Internet",93,2.70677
"creimeadh",93,2.70677
"asailín",93,2.70677
"French",93,2.70677
"muirnigh",93,2.70677
"Caithfead",93,2.70677
"Engels",93,2.70677
"eidhneán",93,2.70677
"ghlaonn",93,2.70677
"interest",93,2.70677
"Sexton",93,2.70677
"mustard",93,2.70677
"mionsamhail",93,2.70677
"Cosgrave",93,2.70677
"Ha",93,2.70677
"Clúin",93,2.70677
"sciotaíl",93,2.70677
"gheobhair",93,2.70677
"Sure",93,2.70677
"Shaughnessy",93,2.70677
"Sandra",92,2.67767
"bollán",92,2.67767
"Diego",92,2.67767
"gcrois",92,2.67767
"giorra",92,2.67767
"bliantóg",92,2.67767
"cumannaigh",92,2.67767
"bhfataí",92,2.67767
"leithcheal",92,2.67767
"Europa",92,2.67767
"Cillín",92,2.67767
"truaill",92,2.67767
"Daily",92,2.67767
"promhadh",92,2.67767
"Ard-Mhéara",92,2.67767
"Hagan",92,2.67767
"gliogar",92,2.67767
"European",92,2.67767
"Conchubhar",92,2.67767
"eolaire",92,2.67767
"Holmes",92,2.67767
"budh",92,2.67767
"ngleanntach",92,2.67767
"Napoleon",92,2.67767
"bpalaistíneach",92,2.67767
"garraíodóireacht",92,2.67767
"reoigh",92,2.67767
"Business",92,2.67767
"Stokes",92,2.67767
"real",92,2.67767
"Damer",92,2.67767
"First",92,2.67767
"sáinnigh",92,2.67767
"Bernice",92,2.67767
"tsliabh",92,2.67767
"Emma",92,2.67767
"tiarcais",92,2.67767
"iomrall",92,2.67767
"mífhoighdeach",92,2.67767
"Ivan",92,2.67767
"Tímí",92,2.67767
"buinne",92,2.67767
"Dominic",92,2.67767
"Cape",92,2.67767
"fámaire",92,2.67767
"uige",92,2.67767
"caiftín",92,2.67767
"ansmacht",92,2.67767
"gcalifornia",92,2.67767
"dronuilleach",92,2.67767
"ngaelscoil",92,2.67767
"Bogaigh",91,2.64856
"ceana",91,2.64856
"díshealbhú",91,2.64856
"grágaíl",91,2.64856
"Essex",91,2.64856
"lámhainn",91,2.64856
"critéar",91,2.64856
"fuaimnigh",91,2.64856
"léasadh",91,2.64856
"Dhireáin",91,2.64856
"radacach",91,2.64856
"help",91,2.64856
"Prince",91,2.64856
"Adventures",91,2.64856
"Brighid",91,2.64856
"Dracula",91,2.64856
"Kíla",91,2.64856
"póilíos",91,2.64856
"Splándíd",91,2.64856
"left",91,2.64856
"laíon",91,2.64856
"Connachta",91,2.64856
"Prótacail",91,2.64856
"Stevens",91,2.64856
"bréagadóir",91,2.64856
"Barrett",91,2.64856
"Nell",91,2.64856
"Caoilfhionn",91,2.64856
"truflais",91,2.64856
"Ellis",91,2.64856
"living",91,2.64856
"coimisiúnaithe",91,2.64856
"leá",91,2.64856
"cairteanna",91,2.64856
"Duff",91,2.64856
"Dead",91,2.64856
"brocach",91,2.64856
"chatagóir",91,2.64856
"ualaigh",91,2.64856
"Pheait",91,2.64856
"Redmond",91,2.64856
"Tag",91,2.64856
"Gadamer",91,2.64856
"galfaire",91,2.64856
"dáir",91,2.64856
"mainséar",91,2.64856
"sin--",91,2.64856
"Alzheimer",91,2.64856
"seitreach",90,2.61946
"Christine",90,2.61946
"Hans",90,2.61946
"Chaitiairn",90,2.61946
"oiche",90,2.61946
"pluc",90,2.61946
"Óró",90,2.61946
"frithghiniúint",90,2.61946
"taiscéalaíocht",90,2.61946
"cumarsáideach",90,2.61946
"Saoir",90,2.61946
"haodh",90,2.61946
"Just",90,2.61946
"Mildred",90,2.61946
"Dunphy",90,2.61946
"ngaedheal",90,2.61946
"abhac",90,2.61946
"iomramh",90,2.61946
"turraing",90,2.61946
"nua-aoiseachas",90,2.61946
"uainíocht",90,2.61946
"Dudley",90,2.61946
"cadhnra",90,2.61946
"oiriúnacht",90,2.61946
"barraicín",90,2.61946
"tuigbh",90,2.61946
"treallamh",90,2.61946
"Dennis",90,2.61946
"Arabacha",90,2.61946
"Monsignor",90,2.61946
"Europol",90,2.61946
"suimigh",90,2.61946
"cursaí",90,2.61946
"lochlannacha",90,2.61946
"cócaireán",90,2.61946
"Antella",90,2.61946
"oibritheoir",90,2.61946
"fasach",90,2.61946
"Reachtaire",90,2.61946
"cladaí",90,2.61946
"miúil",90,2.61946
"Rice",90,2.61946
"éiceolaíocht",90,2.61946
"Seicslóvaic",90,2.61946
"fhearaibh",90,2.61946
"dufair",90,2.61946
"fachtóirí",89,2.59035
"Bourke",89,2.59035
"óstach",89,2.59035
"grúpáil",89,2.59035
"bindealán",89,2.59035
"mháithrín",89,2.59035
"gíoscán",89,2.59035
"eacnamaí",89,2.59035
"Board",89,2.59035
"biolar",89,2.59035
"Hughie",89,2.59035
"Gillinan",89,2.59035
"Foighil",89,2.59035
"Imelda",89,2.59035
"ábharachas",89,2.59035
"lonradh",89,2.59035
"Caipitiúil",89,2.59035
"Kane",89,2.59035
"Special",89,2.59035
"Blake",89,2.59035
"Glasgow",89,2.59035
"bhidín",89,2.59035
"Dubhda",89,2.59035
"Prág",89,2.59035
"gaorthadh",89,2.59035
"beilt",89,2.59035
"Dothra",89,2.59035
"Daill",89,2.59035
"number",89,2.59035
"Mount",89,2.59035
"Eidhin",89,2.59035
"caidéis",89,2.59035
"claontacht",89,2.59035
"páirteach",89,2.59035
"Mhicheáil",89,2.59035
"cinntiú",89,2.59035
"láithreoirí",89,2.59035
"Field",89,2.59035
"coluimbín",89,2.59035
"Chaptaein",89,2.59035
"Sáirséal",89,2.59035
"deug",89,2.59035
"fheidir",89,2.59035
"suaimhnigh",89,2.59035
"chomharsain",89,2.59035
"Far",89,2.59035
"Rúraíocht",89,2.59035
"Real",89,2.59035
"Gaelscoile",89,2.59035
"something",89,2.59035
"áith",89,2.59035
"Hidden",89,2.59035
"tréigean",89,2.59035
"aralt",88,2.56125
"BP",88,2.56125
"used",88,2.56125
"Cosgair",88,2.56125
"údaí",88,2.56125
"Pedro",88,2.56125
"Fómh",88,2.56125
"todóg",88,2.56125
"Edwards",88,2.56125
"easair",88,2.56125
"paradacsa",88,2.56125
"nóa",88,2.56125
"polagán",88,2.56125
"Sandy",88,2.56125
"Albanach",88,2.56125
"sínteán",88,2.56125
"chloich",88,2.56125
"preabadh",88,2.56125
"smólach",88,2.56125
"bónas",88,2.56125
"praghasanna",88,2.56125
"cuinneog",88,2.56125
"tathaint",88,2.56125
"dithneas",88,2.56125
"cónasc",88,2.56125
"hiosraelaigh",88,2.56125
"Ruiséal",88,2.56125
"toscaí",88,2.56125
"traipisí",88,2.56125
"clóiríd",88,2.56125
"congáil",88,2.56125
"clóirín",88,2.56125
"Dáire",88,2.56125
"Jó",88,2.56125
"Nemo",88,2.56125
"cúngaigh",88,2.56125
"bandaí",88,2.56125
"Ostaig",88,2.56125
"Morning",88,2.56125
"Phinocchio",88,2.56125
"cuaifeach",88,2.56125
"ceaintín",88,2.56125
"Jung",88,2.56125
"Phearsain",88,2.56125
"breoigh",88,2.56125
"gliúcaíocht",88,2.56125
"let",88,2.56125
"fliuch",88,2.56125
"íospairt",87,2.53214
"Reachtain",87,2.53214
"grósaeir",87,2.53214
"reitric",87,2.53214
"ógras",87,2.53214
"losaid",87,2.53214
"luaidreán",87,2.53214
"freagróir",87,2.53214
"Argyle",87,2.53214
"Tour",87,2.53214
"brídeach",87,2.53214
"stil",87,2.53214
"hear",87,2.53214
"Highland",87,2.53214
"piocóid",87,2.53214
"stróc",87,2.53214
"leathchúlaí",87,2.53214
"striapachas",87,2.53214
"lóiste",87,2.53214
"Bulgáir",87,2.53214
"dineasár",87,2.53214
"seachaint",87,2.53214
"Killanin",87,2.53214
"Grafton",87,2.53214
"caibinéad",87,2.53214
"barúntacht",87,2.53214
"Griffin",87,2.53214
"teanntás",87,2.53214
"Kinsella",87,2.53214
"father",87,2.53214
"Avenue",87,2.53214
"phíp",87,2.53214
"brúcht",87,2.53214
"live",87,2.53214
"réamhchúram",87,2.53214
"rosta",87,2.53214
"Éile",87,2.53214
"míchompord",87,2.53214
"Coigligh",87,2.53214
"lasán",87,2.53214
"bairdéir",87,2.53214
"Examiner",87,2.53214
"circín",87,2.53214
"bascadh",87,2.53214
"luasc",87,2.53214
"deachtóireacht",87,2.53214
"leacracha",87,2.53214
"mórgacht",87,2.53214
"lastas",87,2.53214
"Bhlascaod",87,2.53214
"discréid",87,2.53214
"Boland",87,2.53214
"Súilí",87,2.53214
"Productions",87,2.53214
"croinic",87,2.53214
"chuideachtaí",87,2.53214
"fí",87,2.53214
"fuarán",87,2.53214
"gnúsacht",87,2.53214
"éicin",87,2.53214
"Calcúta",87,2.53214
"Glen",87,2.53214
"íoslach",87,2.53214
"Alison",87,2.53214
"satail",87,2.53214
"Ricoeur",86,2.50304
"Les",86,2.50304
"neilín",86,2.50304
"spréigh",86,2.50304
"sean-",86,2.50304
"foirnéis",86,2.50304
"Mercier",86,2.50304
"sladmhargadh",86,2.50304
"Chuaidh",86,2.50304
"lobhar",86,2.50304
"spíce",86,2.50304
"lug",86,2.50304
"Éadaoin",86,2.50304
"sagartóireacht",86,2.50304
"Mickey",86,2.50304
"eil",86,2.50304
"maignéisiam",86,2.50304
"mailís",86,2.50304
"Disney",86,2.50304
"beostoc",86,2.50304
"eis",86,2.50304
"lang",86,2.50304
"áitreabhach",86,2.50304
"phionós",86,2.50304
"Séad",86,2.50304
"Eochaill",86,2.50304
"adhmadóireacht",86,2.50304
"héigiptigh",86,2.50304
"Delaney",86,2.50304
"brúchtaíl",86,2.50304
"catagóirí",86,2.50304
